license,Commercial Use (Competitive),Commercial Use (Non-Competitive),Compensate for Damages,Contact Author,Disclose Source,Distribute,Give Credit,Hold Liable,Include Copyright,Include Install Instructions,Include License,Include Notice,Include Original,Modify,Pay Above Use Threshold,Place Warranty,Private Use,Relicense,Rename,State Changes,Statically Link,Sublicense,Use in Production,Use Internally,Use Patent Claims,Use Trademark
4-Clause BSD,can, can, cannot,can,can, can, must, cannot, must,can, must,can,must, can,can, can,can,cannot,can,can, can, can,can, can, can, cannot
Academic Free License 3.0 (AFL),can, can, cannot,can, must, can,can, cannot, must,can, must,can,must, can,can, can,can,cannot,can, must, can, can,can, can, can, cannot
Academy of Motion Picture Arts and Sciences BSD,can, can, cannot,can,can, can,can, cannot, must,can, must,can,must, can,can, can, can,cannot,can,can, can, can,can, can, can, cannot
Adaptive Public License 1.0 (APL-1.0),can, can, cannot,can, must, can, must, cannot, must,can, must, must,must, can,can, can, can,cannot,can, must, can, can,can, can, can, cannot
Adobe Systems Incorporated Source Code License Agreement,can, can, cannot,can,can, can,can, cannot, must,can, must,can,must, can,can, can, can,cannot,can,can, can, can,can, can, can, cannot
Amazon Digital Services License,can, can, cannot,can,can, can,can, cannot, must,can, must,can,must, can,can, can, can,cannot,can,can, can, can,can, can, can, cannot
Android SDK License Agreement (June 2014),can, can, cannot,can,can, can,can, cannot, must,can, must,can,must,cannot,can, can,can,cannot,can,can, can, can,can, can, can, cannot
Apache License 1.0 (Apache-1.0),can, can, cannot,can,can, can,can, cannot, must,can, must,can,must, can,can, can,can,cannot,can,can, can, can,can, can, can, cannot
Apache License 2.0 (Apache-2.0),can, can, cannot,can,can, can,can, cannot, must,can, must, must,must, can,can, can, can,cannot,can, must, can, can,can, can, can, cannot
Apple MIT License (AML),can, can, cannot,can,can, can,can, cannot, must,can, must,can,must, can,can, can, can,cannot,can,can, can, can,can, can, can, cannot
Apple Public Source License 2.0 (APSL),can, can, cannot,can, must, can,can, cannot, must,can, must,can,must, can,can, can,can,cannot,can, must, can, can,can, can, can, cannot
Apple Website Terms of Service,can, can, cannot,can,can, can,can, cannot, must,can, must,can,must,cannot,can, can,can,cannot,can,can, can, can,can, can, can, cannot
Artistic License 2.0 (Artistic-2.0),can, can, cannot,can,can, can,can, cannot, must, must, must,can,must, can,can, can, can,cannot, must, must, can, can,can, can, can, cannot
Attribution Assurance License (AAL),can, can, cannot,can,can, can, must, cannot, must,can, must,can,must, can,can, can,can,cannot,can,can, can, can,can, can, can, cannot
BSD 0-Clause License (0BSD),can, can, cannot,can,can, can,can, cannot, can,can, can,can, can, can,can, can, can,cannot,can,can, can, can,can, can, can, cannot
BSD 2-Clause License (FreeBSD/Simplified),can, can, cannot,can,can, can,can, cannot, must,can, must,can,must, can,can, can,can,cannot,can,can, can, can,can, can, can, cannot
BSD 3-Clause License (Revised),can, can, cannot,can,can, can,can, cannot, must,can, must,can,must, can,can, can,can,cannot,can,can, can, can,can, can, can, cannot
Beerware License,can, can, cannot,can,can, can,can, cannot, must,can, can,can,must, can,can, can,can,cannot,can,can, can, can,can, can, can, cannot
BitTorrent Open Source License v1.1 (BitTorrent-1.1),can, can, cannot,can, must, can, must, cannot, must,can, must, must,must, can,can, can,can,cannot,can, must, can, can,can, can, can, cannot
Boost Software License 1.0 (BSL-1.0),can, can, cannot,can,can, can,can, cannot, must,can, must,can,must, can,can, can,can,cannot,can,can, can, can,can, can, can, cannot
Business Source License (BSL-1.1),can, can, cannot,can,can, can,can, cannot, must,can, must,can,must,can,can, can,can,cannot,can,can, can, can, cannot, can, can, cannot
CUA Office Public License v1.0 (CUA-OPL-1.0),can, can, cannot,can, must, can, must, cannot, must,can, must, must,must, can,can, can,can,cannot,can, must, can, can,can, can, can, cannot
CeCILL Free Software License Agreement v1.0 (CECILL-1.0),can, can, cannot,can, must, can,can, can, must,can, must, must,must, can,can, can,can,cannot,can, must, can, can,can, can, can, cannot
CeCILL Free Software License Agreement v1.1 (CECILL-1.1),can,can, cannot,can, must, can,can, can, must,can, must, must,must, can,can, can,can,cannot,can, must, can, can,can, can, can, cannot
CeCILL Free Software License Agreement v2.0 (CECILL-2.0),can,can, cannot,can, must, can,can, can, must,can, must, must,must, can,can, can,can,cannot,can, must, can, can,can, can, can, cannot
Common Development and Distribution License (CDDL-1.0),can,can, cannot,can, must, can,can, cannot, must,can, must,can,must, can,can, can,can,cannot,can,can, can, can,can, can, can, cannot
Common Public Attribution License Version 1.0 (CPAL-1.0),can,can, cannot,can, must, can,can, cannot, must,can, must, must,must, can,can, can,can,cannot,can, must, can, can,can, can, can, cannot
Common Public License 1.0 (CPL-1.0),can,can, cannot,can, must, can,can, cannot, must,can, must,can,must, can,can, can,can,cannot,can,can, can, can,can, can, can, cannot
Computer Associates Trusted Open Source License 1.1 (CATOSL-1.1),can,can, cannot,can, must, can, must, cannot, must,can, must, must,must, can,can, can,can,cannot,can, must, can, can,can, can, can, cannot
Creative Commons Attribution 3.0 Unported (CC-BY),can,can, cannot,can,can, can,can, cannot, must,can, must,can,must, can,can, cannot,can,cannot,can,can, can, cannot,can, can, can, cannot
Creative Commons Attribution 4.0 International (CC BY 4.0),can,can, cannot,can,can, can, must, cannot, must,can, must,can,must, can,can,can,can,cannot,can, must, can, cannot,can, can, can, cannot
Creative Commons Attribution NoDerivs (CC-ND),can,can, cannot,can,can, can,can, cannot, must,can, must,can,must, cannot,can, cannot,can,cannot,can,can, can, cannot,can, can, can, cannot
Creative Commons Attribution NonCommercial (CC-BY-NC),cannot,cannot, cannot,can,can, can, must, cannot, must,can, must,can,must, can,can, cannot,can,cannot,can, must, can, cannot,can, can, can, cannot
Creative Commons Attribution NonCommercial NoDerivs (CC-NC-ND),cannot,cannot, cannot,can,can, can,can, cannot, must,can, must,can,must, cannot,can, cannot,can,cannot,can,can, can, cannot,can, can, can, cannot
Creative Commons Attribution NonCommercial ShareAlike (CC-NC-SA),cannot,cannot, cannot,can,can, can,can, cannot, must,can, must,can,must, can,can, cannot,can,cannot,can,can, can, cannot,can, can, can, cannot
Creative Commons Attribution Share Alike (CC-SA),can,can, cannot,can,can, can,can, cannot, must,can, must,can,must, can,can, cannot,can,cannot,can,can, can, cannot,can, can, can, cannot
Creative Commons Attribution-NoDerivatives 4.0 International (CC BY-ND 4.0),can,can, cannot,can,can, can, must, cannot, must,can, must,can,must, cannot,can,can,can,cannot,can, must, can, cannot,can, can, can, cannot
Creative Commons Attribution-NonCommercial 2.0 Generic (CC BY-NC 2.0),can,can, cannot,can,can, can,can, cannot, must,can, must,can,must,can,can,can,can,cannot,can,can, can,can,can, can, can, cannot
Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0),cannot,cannot, cannot,can,can, can, must, cannot, must,can, must,can,must, can,can,can,can,cannot,can, must, can, cannot,can, can, can, cannot
