short,license,Commercial Use (Competitive),Commercial Use (Non-Competitive),Compensate for Damages,Contact Author,Disclose Source,Distribute,Give Credit,Hold Liable,Include Copyright,Include Install Instructions,Include License,Include Notice,Include Original,Modify,Pay Above Use Threshold,Place Warranty,Private Use,Relicense,Rename,State Changes,Statically Link,Sublicense,Use in Production,Use Internally,Use Patent Claims,Use Trademark
 BSD-4-Clause,4-Clause BSD,can, can, cannot,can,can, can, must, cannot, must,can, must,can,must, can,can, can,can,cannot,can,can, can, can,can, can, can, cannot
 AFL-3.0,Academic Free License 3.0 (AFL),can, can, cannot,can, must, can,can, cannot, must,can, must,can,must, can,can, can,can,cannot,can, must, can, can,can, can, can, cannot
AMPAS,Academy of Motion Picture Arts and Sciences BSD,can, can, cannot,can,can, can,can, cannot, must,can, must,can,must, can,can, can, can,cannot,can,can, can, can,can, can, can, cannot
APL-1.0,Adaptive Public License 1.0,can, can, cannot,can, must, can, must, cannot, must,can, must, must,must, can,can, can, can,cannot,can, must, can, can,can, can, can, cannot
Adobe-2006,Adobe Systems Incorporated Source Code License Agreement,can, can, cannot,can,can, can,can, cannot, must,can, must,can,must, can,can, can, can,cannot,can,can, can, can,can, can, can, cannot
ADSL,Amazon Digital Services License,can, can, cannot,can,can, can,can, cannot, must,can, must,can,must, can,can, can, can,cannot,can,can, can, can,can, can, can, cannot
Apache-1.0,Apache License 1.0 ,can, can, cannot,can,can, can,can, cannot, must,can, must,can,must, can,can, can,can,cannot,can,can, can, can,can, can, can, cannot
 Apache-2.0,Apache License 2.0,can, can, cannot,can,can, can,can, cannot, must,can, must, must,must, can,can, can, can,cannot,can, must, can, can,can, can, can, cannot
AML,Apple MIT License,can, can, cannot,can,can, can,can, cannot, must,can, must,can,must, can,can, can, can,cannot,can,can, can, can,can, can, can, cannot
 APSL-2.0,Apple Public Source License 2.0,can, can, cannot,can, must, can,can, cannot, must,can, must,can,must, can,can, can,can,cannot,can, must, can, can,can, can, can, cannot
Artistic-2.0,Artistic License 2.0 (Artistic-2.0),can, can, cannot,can,can, can,can, cannot, must, must, must,can,must, can,can, can, can,cannot, must, must, can, can,can, can, can, cannot
AAL,Attribution Assurance License,can, can, cannot,can,can, can, must, cannot, must,can, must,can,must, can,can, can,can,cannot,can,can, can, can,can, can, can, cannot
0BSD,BSD 0-Clause License,can, can, cannot,can,can, can,can, cannot, can,can, can,can, can, can,can, can, can,cannot,can,can, can, can,can, can, can, cannot
BSD-2-Clause,BSD 2-Clause License,can, can, cannot,can,can, can,can, cannot, must,can, must,can,must, can,can, can,can,cannot,can,can, can, can,can, can, can, cannot
BSD-3-Clause,BSD 3-Clause License ,can, can, cannot,can,can, can,can, cannot, must,can, must,can,must, can,can, can,can,cannot,can,can, can, can,can, can, can, cannot
Beerware,Beerware License,can, can, cannot,can,can, can,can, cannot, must,can, can,can,must, can,can, can,can,cannot,can,can, can, can,can, can, can, cannot
BitTorrent-1.1,BitTorrent Open Source License v1.1,can, can, cannot,can, must, can, must, cannot, must,can, must, must,must, can,can, can,can,cannot,can, must, can, can,can, can, can, cannot
